Htno,Sem,Subcode,Subname,Internal,External,Marks,Dept Name
15NG1A0597,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,24,24,48,CSE
15NG1A0597,1-2,R13209,ENGG. DRAWING,16,0,16,CSE
15NG1A05A3,1-2,R13202,MATHEMATICS-III,21,14,35,CSE
15NG1A05A3,1-2,R13203,ENGG. PHYSICS,16,7,23,CSE
15NG1A05A3,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,25,37,62,CSE
15NG1A05A5,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,23,40,63,CSE
15NG1A05A8,1-2,R13203,ENGG. PHYSICS,23,30,53,CSE
15NG1A05A8,1-2,R13209,ENGG. DRAWING,22,29,51,CSE
15NG1A05A9,1-2,R13202,MATHEMATICS-III,18,27,45,CSE
15NG1A05A9,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,23,24,47,CSE
15NG1A05A9,1-2,R13209,ENGG. DRAWING,16,34,50,CSE
15NG1A05B3,1-2,R13202,MATHEMATICS-III,24,28,52,CSE
15NG1A05B3,1-2,R13207,MATHEMATICS-II (MM),21,41,62,CSE
15NG1A05B6,1-2,R13209,ENGG. DRAWING,23,31,54,CSE
15NG1A1201,1-2,R13209,ENGG. DRAWING,25,31,56,IT
15NG1A1203,1-2,R13202,MATHEMATICS-III,18,29,47,IT
15NG1A1203,1-2,R13203,ENGG. PHYSICS,17,0,17,IT
15NG1A1203,1-2,R13209,ENGG. DRAWING,26,32,58,IT
15NG1A1205,1-2,R13202,MATHEMATICS-III,23,28,51,IT
15NG1A1205,1-2,R13203,ENGG. PHYSICS,17,0,17,IT
15NG1A1205,1-2,R13207,MATHEMATICS-II (MM),17,10,27,IT
15NG1A1205,1-2,R13209,ENGG. DRAWING,22,8,30,IT
15NG1A1207,1-2,R13203,ENGG. PHYSICS,16,29,45,IT
15NG1A1208,1-2,R13201,ENGLISH-II,20,26,46,IT
15NG1A1208,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,19,35,54,IT
15NG1A1208,1-2,R13209,ENGG. DRAWING,17,12,29,IT
15NG1A1209,1-2,R13203,ENGG. PHYSICS,19,38,57,IT
15NG1A1209,1-2,R13209,ENGG. DRAWING,19,13,32,IT
15NG1A1212,1-2,R13201,ENGLISH-II,21,39,60,IT
15NG1A1212,1-2,R13202,MATHEMATICS-III,20,29,49,IT
15NG1A1212,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,24,34,58,IT
15NG1A1212,1-2,R13209,ENGG. DRAWING,20,12,32,IT
15NG1A1213,1-2,R13203,ENGG. PHYSICS,23,31,54,IT
15NG1A1214,1-2,R13202,MATHEMATICS-III,17,16,33,IT
15NG1A1214,1-2,R13203,ENGG. PHYSICS,7,0,7,IT
15NG1A1214,1-2,R13207,MATHEMATICS-II (MM),21,6,27,IT
15NG1A1214,1-2,R13209,ENGG. DRAWING,18,6,24,IT
15NG1A1216,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,18,34,52,IT
15NG1A1218,1-2,R13203,ENGG. PHYSICS,20,38,58,IT
15NG1A1220,1-2,R13202,MATHEMATICS-III,22,28,50,IT
15NG1A1220,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,21,33,54,IT
15NG1A1220,1-2,R13209,ENGG. DRAWING,23,7,30,IT
15NG1A1221,1-2,R13201,ENGLISH-II,20,20,40,IT
15NG1A1221,1-2,R13207,MATHEMATICS-II (MM),18,5,23,IT
15NG1A1221,1-2,R13209,ENGG. DRAWING,26,6,32,IT
15NG1A1222,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,21,32,53,IT
15NG1A1224,1-2,R13202,MATHEMATICS-III,23,28,51,IT
15NG1A1224,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,20,6,26,IT
15NG1A1225,1-2,R13202,MATHEMATICS-III,20,8,28,IT
15NG1A1225,1-2,R13203,ENGG. PHYSICS,16,0,16,IT
15NG1A1225,1-2,R13207,MATHEMATICS-II (MM),17,1,18,IT
15NG1A1225,1-2,R13209,ENGG. DRAWING,19,15,34,IT
15NG1A1228,1-2,R13201,ENGLISH-II,19,32,51,IT
15NG1A1228,1-2,R13203,ENGG. PHYSICS,11,0,11,IT
15NG1A1228,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,14,0,14,IT
15NG1A1229,1-2,R13202,MATHEMATICS-III,20,12,32,IT
15NG1A1229,1-2,R13203,ENGG. PHYSICS,20,3,23,IT
15NG1A1229,1-2,R13207,MATHEMATICS-II (MM),17,2,19,IT
15NG1A1229,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,18,17,35,IT
15NG1A1229,1-2,R13209,ENGG. DRAWING,28,13,41,IT
15NG1A1230,1-2,R13202,MATHEMATICS-III,17,13,30,IT
15NG1A1230,1-2,R13203,ENGG. PHYSICS,17,0,17,IT
15NG1A1230,1-2,R13207,MATHEMATICS-II (MM),15,18,33,IT
15NG1A1231,1-2,R13202,MATHEMATICS-III,16,0,16,IT
15NG1A1231,1-2,R13203,ENGG. PHYSICS,17,0,17,IT
15NG1A1232,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,26,29,55,IT
15NG1A1233,1-2,R13203,ENGG. PHYSICS,21,6,27,IT
15NG1A1233,1-2,R13209,ENGG. DRAWING,22,24,46,IT
15NG1A1234,1-2,R13202,MATHEMATICS-III,24,6,30,IT
15NG1A1234,1-2,R13207,MATHEMATICS-II (MM),16,18,34,IT
15NG1A1234,1-2,R13209,ENGG. DRAWING,17,16,33,IT
15NG1A1235,1-2,R13202,MATHEMATICS-III,18,26,44,IT
15NG1A1235,1-2,R13203,ENGG. PHYSICS,16,1,17,IT
15NG1A1235,1-2,R13209,ENGG. DRAWING,20,24,44,IT
15NG1A1237,1-2,R13209,ENGG. DRAWING,30,29,59,IT
15NG1A1238,1-2,R13202,MATHEMATICS-III,25,32,57,IT
15NG1A1238,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,23,30,53,IT
15NG1A1238,1-2,R13209,ENGG. DRAWING,29,4,33,IT
15NG1A1239,1-2,R13203,ENGG. PHYSICS,17,7,24,IT
15NG1A1241,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,26,29,55,IT
15NG1A1241,1-2,R13209,ENGG. DRAWING,25,5,30,IT
15NG1A1242,1-2,R13202,MATHEMATICS-III,21,11,32,IT
15NG1A1242,1-2,R13203,ENGG. PHYSICS,16,2,18,IT
15NG1A1243,1-2,R13202,MATHEMATICS-III,22,12,34,IT
15NG1A1244,1-2,R13202,MATHEMATICS-III,12,28,40,IT
15NG1A1244,1-2,R13203,ENGG. PHYSICS,16,2,18,IT
15NG1A1244,1-2,R13207,MATHEMATICS-II (MM),16,17,33,IT
15NG1A1245,1-2,R13202,MATHEMATICS-III,20,29,49,IT
15NG1A1245,1-2,R13207,MATHEMATICS-II (MM),16,33,49,IT
15NG1A1245,1-2,R13209,ENGG. DRAWING,26,29,55,IT
15NG1A1247,1-2,R13203,ENGG. PHYSICS,16,0,16,IT
15NG1A1248,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,24,31,55,IT
15NG1A1249,1-2,R13209,ENGG. DRAWING,25,29,54,IT
15NG1A1251,1-2,R13202,MATHEMATICS-III,12,0,12,IT
15NG1A1251,1-2,R13203,ENGG. PHYSICS,16,0,16,IT
15NG1A1251,1-2,R13207,MATHEMATICS-II (MM),16,4,20,IT
15NG1A1251,1-2,R13209,ENGG. DRAWING,19,12,31,IT
15NG1A1252,1-2,R13202,MATHEMATICS-III,16,28,44,IT
15NG1A1252,1-2,R13203,ENGG. PHYSICS,16,0,16,IT
15NG1A1253,1-2,R13209,ENGG. DRAWING,22,15,37,IT
