htno,sem,subcode,subname,internal,external,marks,dept
15NG1A0117,1-2 SEM,R13203,ENGG. PHYSICS,21,38,59,CE
15NG1A0117,1-2 SEM,R13207,MATHEMATICS-II (MM),23,39,62,CE
15NG1A0117,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,24,51,75,CE
15NG1A0117,1-2 SEM,R13209,ENGG. DRAWING,25,5,30,CE
15NG1A0117,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,47,71,CE
15NG1A0117,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,22,43,65,CE
15NG1A0117,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,25,50,75,CE
15NG1A0118,1-2 SEM,R13201,ENGLISH-II,24,49,73,CE
15NG1A0118,1-2 SEM,R13202,MATHEMATICS-III,23,0,23,CE
15NG1A0118,1-2 SEM,R13203,ENGG. PHYSICS,18,3,21,CE
15NG1A0118,1-2 SEM,R13207,MATHEMATICS-II (MM),16,13,29,CE
15NG1A0118,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,20,0,20,CE
15NG1A0118,1-2 SEM,R13209,ENGG. DRAWING,23,6,29,CE
15NG1A0118,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,41,65,CE
15NG1A0118,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,20,42,62,CE
15NG1A0118,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,22,44,66,CE
15NG1A0119,1-2 SEM,R13201,ENGLISH-II,20,37,57,CE
15NG1A0119,1-2 SEM,R13202,MATHEMATICS-III,26,5,31,CE
15NG1A0119,1-2 SEM,R13203,ENGG. PHYSICS,21,7,28,CE
15NG1A0119,1-2 SEM,R13207,MATHEMATICS-II (MM),21,30,51,CE
15NG1A0119,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,24,35,59,CE
15NG1A0119,1-2 SEM,R13209,ENGG. DRAWING,28,30,58,CE
15NG1A0119,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,47,71,CE
15NG1A0119,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,23,48,71,CE
15NG1A0119,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,24,48,72,CE
15NG1A0120,1-2 SEM,R13201,ENGLISH-II,27,26,53,CE
15NG1A0120,1-2 SEM,R13202,MATHEMATICS-III,28,33,61,CE
15NG1A0120,1-2 SEM,R13203,ENGG. PHYSICS,21,0,21,CE
15NG1A0120,1-2 SEM,R13207,MATHEMATICS-II (MM),22,26,48,CE
15NG1A0120,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,26,38,64,CE
15NG1A0120,1-2 SEM,R13209,ENGG. DRAWING,27,28,55,CE
15NG1A0120,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,25,46,71,CE
15NG1A0120,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,24,48,72,CE
15NG1A0120,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,23,46,69,CE
15NG1A0121,1-2 SEM,R13201,ENGLISH-II,20,59,79,CE
15NG1A0121,1-2 SEM,R13202,MATHEMATICS-III,25,0,25,CE
15NG1A0121,1-2 SEM,R13203,ENGG. PHYSICS,16,10,26,CE
15NG1A0121,1-2 SEM,R13207,MATHEMATICS-II (MM),18,27,45,CE
15NG1A0121,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,21,38,59,CE
15NG1A0121,1-2 SEM,R13209,ENGG. DRAWING,26,0,26,CE
15NG1A0121,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,25,45,70,CE
15NG1A0121,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,20,42,62,CE
15NG1A0121,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,21,42,63,CE
15NG1A0122,1-2 SEM,R13201,ENGLISH-II,11,-1,10,CE
15NG1A0122,1-2 SEM,R13202,MATHEMATICS-III,20,0,20,CE
15NG1A0122,1-2 SEM,R13203,ENGG. PHYSICS,10,0,10,CE
15NG1A0122,1-2 SEM,R13207,MATHEMATICS-II (MM),16,0,16,CE
15NG1A0122,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,13,0,13,CE
